pays,code_iso3,region_oms,frequence_allele_hbs,nombre_enquetes,naissances_ss_par_an,incidence_paludisme_2000
Afghanistan,AFG,Méditerranée orientale,0.0,1,0,84.48
Afrique du Sud,ZAF,Afrique,0.003,3,73,3.86
Albanie,ALB,Europe,0.014,1,30,
Algérie,DZA,Afrique,0.007,18,191,0.02
Allemagne,DEU,Europe,0.004,0,85,
Angola,AGO,Afrique,0.137,18,8364,326.54
Antilles néerlandaises,ANT,Amériques,0.023,2,4,
Arabie saoudite,SAU,Méditerranée orientale,0.018,28,691,3.81
Argentine,ARG,Amériques,0.0,0,4,2.36
Arménie,ARM,Europe,0.0,0,0,0.05
Aruba,ABW,Amériques,0.016,1,1,
Australie,AUS,Pacifique occidental,0.001,2,5,
Autriche,AUT,Europe,0.002,0,1,
Azerbaïdjan,AZE,Europe,0.0,0,0,8.12
Bahamas,BHS,Amériques,0.024,1,8,
Bahreïn,BHR,Méditerranée orientale,0.05,0,59,
Bangladesh,BGD,Asie du Sud-Est,0.001,0,16,6.62
Barbade,BRB,Amériques,0.025,0,4,
Bélarus,BLR,Europe,0.0,0,0,
Belgique,BEL,Europe,0.008,18,29,
Belize,BLZ,Amériques,0.075,3,47,8.94
Bénin,BEN,Afrique,0.159,9,4543,416.0
Bhoutan,BTN,Asie du Sud-Est,0.001,0,0,13.44
Birmanie,MMR,Asie du Sud-Est,0.0,6,0,34.4
Bolivie,BOL,Amériques,0.0,0,0,11.69
Bosnie-Herzégovine,BIH,Europe,0.003,0,1,
Botswana,BWA,Afrique,0.003,4,4,17.23
Brésil,BRA,Amériques,0.017,47,3244,21.54
Brunéi Darussalam,BRN,Pacifique occidental,0.0,0,0,
Bulgarie,BGR,Europe,0.007,0,17,
Burkina Faso,BFA,Afrique,0.056,51,3124,597.17
Burundi,BDI,Afrique,0.04,2,889,427.48
Cambodge,KHM,Pacifique occidental,0.0,1,0,75.47
Cameroun,CMR,Afrique,0.12,34,6915,394.85
Canada,CAN,Amériques,0.004,3,45,
Cap-Vert,CPV,Afrique,0.026,3,18,1.22
Chili,CHL,Amériques,0.0,4,0,
Chine,CHN,Pacifique occidental,0.0,8,0,0.02
Chypre,CYP,Europe,0.007,1,2,
Colombie,COL,Amériques,0.008,2,321,24.35
Comores,COM,Afrique,0.018,2,25,66.37
Corée du Nord,PRK,Asie du Sud-Est,0.0,0,0,9.79
Corée du Sud,KOR,Pacifique occidental,0.0,0,0,1.28
Costa Rica,CRI,Amériques,0.016,1,60,1.36
Côte d'Ivoire,CIV,Afrique,0.062,7,3567,490.52
Croatie,HRV,Europe,0.002,0,1,
Cuba,CUB,Amériques,0.03,1,240,
Danemark,DNK,Europe,0.0,0,0,
Djibouti,DJI,Méditerranée orientale,0.001,0,0,3.07
Égypte,EGY,Méditerranée orientale,0.012,5,1196,0.0
Émirats arabes unis,ARE,Méditerranée orientale,0.004,2,4,
Équateur,ECU,Amériques,0.0,0,0,14.54
Érythrée,ERI,Afrique,0.003,0,9,19.0
Espagne,ESP,Europe,0.007,4,149,
Estonie,EST,Europe,0.0,0,0,
Eswatini,SWZ,Afrique,0.006,0,4,2.7
États-Unis,USA,Amériques,0.011,25,2843,
Éthiopie,ETH,Afrique,0.003,8,137,189.18
Fidji,FJI,Pacifique occidental,0.0,0,0,
Finlande,FIN,Europe,0.0,0,0,
France,FRA,Europe,0.013,7,520,
Gabon,GAB,Afrique,0.28,3,864,364.66
