pays,code_iso3,region_oms,frequence_allele_hbs,nombre_enquetes,naissances_ss_par_an,incidence_paludisme_2000,incidence_tuberculose_2000,prevalence_vih_2000
Afghanistan,AFG,Méditerranée orientale,0.0,1,0,84.48,148.0,0.1
Afrique du Sud,ZAF,Afrique,0.003,3,73,3.86,762.0,12.7
Albanie,ALB,Europe,0.014,1,30,,21.0,0.1
Algérie,DZA,Afrique,0.007,18,191,0.02,118.0,0.1
Allemagne,DEU,Europe,0.004,0,85,,12.0,
Angola,AGO,Afrique,0.137,18,8364,326.54,270.0,1.3
Antilles néerlandaises,ANT,Amériques,0.023,2,4,,,
Arabie saoudite,SAU,Méditerranée orientale,0.018,28,691,3.81,23.0,0.1
Argentine,ARG,Amériques,0.0,0,4,2.36,49.0,0.3
Arménie,ARM,Europe,0.0,0,0,0.05,115.0,0.1
Aruba,ABW,Amériques,0.016,1,1,,,
Australie,AUS,Pacifique occidental,0.001,2,5,,6.8,0.1
Autriche,AUT,Europe,0.002,0,1,,22.0,
Azerbaïdjan,AZE,Europe,0.0,0,0,8.12,183.0,0.1
Bahamas,BHS,Amériques,0.024,1,8,,57.0,2.1
Bahreïn,BHR,Méditerranée orientale,0.05,0,59,,57.0,
Bangladesh,BGD,Asie du Sud-Est,0.001,0,16,6.62,221.0,0.1
Barbade,BRB,Amériques,0.025,0,4,,1.1,1.0
Bélarus,BLR,Europe,0.0,0,0,,153.0,
Belgique,BEL,Europe,0.008,18,29,,17.0,0.1
Belize,BLZ,Amériques,0.075,3,47,8.94,113.0,1.2
Bénin,BEN,Afrique,0.159,9,4543,416.0,71.0,1.5
Bhoutan,BTN,Asie du Sud-Est,0.001,0,0,13.44,667.0,0.1
Birmanie,MMR,Asie du Sud-Est,0.0,6,0,34.4,555.0,0.7
Bolivie,BOL,Amériques,0.0,0,0,11.69,402.0,0.4
Bosnie-Herzégovine,BIH,Europe,0.003,0,1,,158.0,
Botswana,BWA,Afrique,0.003,4,4,17.23,976.0,26.0
Brésil,BRA,Amériques,0.017,47,3244,21.54,49.0,0.3
Brunéi Darussalam,BRN,Pacifique occidental,0.0,0,0,,231.0,
Bulgarie,BGR,Europe,0.007,0,17,,83.0,0.1
Burkina Faso,BFA,Afrique,0.056,51,3124,597.17,93.0,2.0
Burundi,BDI,Afrique,0.04,2,889,427.48,213.0,3.3
Cambodge,KHM,Pacifique occidental,0.0,1,0,75.47,853.0,1.2
Cameroun,CMR,Afrique,0.12,34,6915,394.85,84.0,5.0
Canada,CAN,Amériques,0.004,3,45,,8.0,0.2
Cap-Vert,CPV,Afrique,0.026,3,18,1.22,176.0,0.7
Chili,CHL,Amériques,0.0,4,0,,33.0,0.2
Chine,CHN,Pacifique occidental,0.0,8,0,0.02,107.0,
Chypre,CYP,Europe,0.007,1,2,,8.2,
Colombie,COL,Amériques,0.008,2,321,24.35,70.0,0.5
Comores,COM,Afrique,0.018,2,25,66.37,51.0,0.1
Corée du Nord,PRK,Asie du Sud-Est,0.0,0,0,9.79,,
Corée du Sud,KOR,Pacifique occidental,0.0,0,0,1.28,50.0,
Costa Rica,CRI,Amériques,0.016,1,60,1.36,25.0,0.1
Côte d'Ivoire,CIV,Afrique,0.062,7,3567,490.52,166.0,
Croatie,HRV,Europe,0.002,0,1,,56.0,
Cuba,CUB,Amériques,0.03,1,240,,23.0,0.1
Danemark,DNK,Europe,0.0,0,0,,16.0,0.1
Djibouti,DJI,Méditerranée orientale,0.001,0,0,3.07,2700.0,3.4
Égypte,EGY,Méditerranée orientale,0.012,5,1196,0.0,21.0,0.1
Émirats arabes unis,ARE,Méditerranée orientale,0.004,2,4,,8.1,0.1
Équateur,ECU,Amériques,0.0,0,0,14.54,124.0,0.3
Érythrée,ERI,Afrique,0.003,0,9,19.0,1440.0,2.1
Espagne,ESP,Europe,0.007,4,149,,30.0,0.5
Estonie,EST,Europe,0.0,0,0,,105.0,0.1
Eswatini,SWZ,Afrique,0.006,0,4,2.7,981.0,23.1
États-Unis,USA,Amériques,0.011,25,2843,,7.7,
Éthiopie,ETH,Afrique,0.003,8,137,189.18,489.0,3.1
Fidji,FJI,Pacifique occidental,0.0,0,0,,49.0,0.1
Finlande,FIN,Europe,0.0,0,0,,14.0,
France,FRA,Europe,0.013,7,520,,12.0,0.2
Gabon,GAB,Afrique,0.28,3,864,364.66,332.0,4.6
Gambie,GMB,Afrique,0.075,29,418,309.72,187.0,1.6
Géorgie,GEO,Europe,0.0,0,0,5.66,229.0,0.1
Ghana,GHA,Afrique,0.087,52,5474,430.36,216.0,2.6
Grèce,GRC,Europe,0.026,31,206,,9.7,0.1
Grenade,GRD,Amériques,0.037,0,6,,0.0,
Guadeloupe,GLP,Amériques,0.031,1,14,,,
Guam,GUM,Pacifique occidental,0.0,0,0,,,
Guatemala,GTM,Amériques,0.011,0,252,7.21,28.0,
Guinée,GIN,Afrique,0.168,1,5232,415.77,120.0,1.5
Guinée équatoriale,GNQ,Afrique,0.192,2,385,334.3,323.0,
Guinée-Bissau,GNB,Afrique,0.041,4,192,396.46,202.0,3.6
Guyana,GUY,Amériques,0.021,0,17,43.97,148.0,0.8
Guyane française,GUF,Amériques,0.015,6,5,49.83,,
Haïti,HTI,Amériques,0.051,8,1088,9.71,576.0,2.8
Honduras,HND,Amériques,0.049,0,772,8.64,280.0,0.8
Hong Kong,HKG,Pacifique occidental,0.0,0,0,,216.0,
Hongrie,HUN,Europe,0.001,1,0,,45.0,
Îles Salomon,SLB,Pacifique occidental,0.0,0,0,583.82,282.0,
Îles Vierges des États-Unis,VIR,Amériques,0.008,0,0,,,
Inde,IND,Asie du Sud-Est,0.023,113,42016,21.8,322.0,
Indonésie,IDN,Pacifique occidental,0.0,14,1,5.28,370.0,0.1
Irak,IRQ,Méditerranée orientale,0.01,1,629,0.59,60.0,
Iran,IRN,Méditerranée orientale,0.011,0,862,29.07,43.0,
Irlande,IRL,Europe,0.001,0,0,,14.0,0.1
Islande,ISL,Europe,0.0,0,0,,4.6,0.1
Italie,ITA,Europe,0.005,41,91,,9.1,0.2
Jamaïque,JAM,Amériques,0.037,4,137,,12.0,1.7
Japon,JPN,Pacifique occidental,0.0,1,0,,47.0,
Jordanie,JOR,Méditerranée orientale,0.017,2,145,,9.5,
Kazakhstan,KAZ,Europe,0.0,0,0,,168.0,0.1
Kenya,KEN,Afrique,0.038,51,4475,220.26,451.0,9.2
Kirghizistan,KGZ,Europe,0.0,0,0,0.0,291.0,0.1
Koweït,KWT,Méditerranée orientale,0.031,0,116,,36.0,0.1
La Réunion,REU,Afrique,0.001,0,0,,,
Laos,LAO,Pacifique occidental,0.0,0,0,31.76,330.0,0.1
Lesotho,LSO,Afrique,0.001,0,0,,827.0,22.0
Lettonie,LVA,Europe,0.0,0,0,,196.0,0.3
Liban,LBN,Méditerranée orientale,0.049,1,251,,28.0,0.1
Libéria,LBR,Afrique,0.046,15,562,397.08,115.0,1.4
Libye,LBY,Méditerranée orientale,0.021,4,188,,59.0,0.1
Lituanie,LTU,Europe,0.0,0,0,,181.0,0.1
Luxembourg,LUX,Europe,0.005,0,0,,14.0,0.1
Madagascar,MDG,Afrique,0.061,37,3379,54.85,207.0,0.1
Malaisie,MYS,Pacifique occidental,0.0,6,0,13.83,152.0,0.4
Malawi,MWI,Afrique,0.033,15,1688,452.55,386.0,13.9
Maldives,MDV,Asie du Sud-Est,0.0,0,0,,139.0,0.1
Mali,MLI,Afrique,0.057,8,2701,394.98,76.0,1.7
Malte,MLT,Europe,0.015,0,2,,4.0,0.1
Maroc,MAR,Méditerranée orientale,0.003,0,40,0.0,114.0,0.1
Martinique,MTQ,Amériques,0.035,1,12,,,
Maurice,MUS,Afrique,0.0,0,0,,32.0,0.3
Mauritanie,MRT,Afrique,0.05,1,433,96.39,229.0,0.3
Mayotte,MYT,Afrique,0.027,0,12,,,
Mexique,MEX,Amériques,0.007,34,641,3.53,37.0,0.2
Micronésie,FSM,Pacifique occidental,0.0,0,0,,281.0,
Moldavie,MDA,Europe,0.0,0,0,,70.0,0.5
Mongolie,MNG,Pacifique occidental,0.0,0,0,,428.0,0.1
Monténégro,MNE,Europe,0.005,0,1,,,0.1
Mozambique,MOZ,Afrique,0.027,14,1645,473.67,336.0,8.8
Namibie,NAM,Afrique,0.01,8,30,53.57,985.0,13.5
Népal,NPL,Asie du Sud-Est,0.002,1,11,6.73,417.0,0.2
Nicaragua,NIC,Amériques,0.023,0,204,6.78,125.0,
Niger,NER,Afrique,0.08,7,4965,359.24,83.0,0.8
Nigeria,NGA,Afrique,0.171,24,85186,401.79,219.0,2.0
Norvège,NOR,Europe,0.0,0,0,,7.0,0.1
Nouvelle-Calédonie,NCL,Pacifique occidental,0.0,0,0,,,
Nouvelle-Zélande,NZL,Pacifique occidental,0.0,0,0,,12.0,0.1
Oman,OMN,Méditerranée orientale,0.001,2,0,0.0,25.0,0.1
Ouganda,UGA,Afrique,0.082,11,10143,482.77,276.0,8.5
Ouzbékistan,UZB,Europe,0.0,0,0,5.08,156.0,0.2
Pakistan,PAK,Méditerranée orientale,0.002,1,228,6.08,275.0,0.1
Panama,PAN,Amériques,0.03,3,140,0.54,71.0,0.7
Papouasie-Nouvelle-Guinée,PNG,Pacifique occidental,0.0,1,0,264.08,1060.0,0.7
Paraguay,PRY,Amériques,0.003,0,7,37.32,98.0,0.1
Pays-Bas,NLD,Europe,0.011,2,82,,8.9,0.1
Pérou,PER,Amériques,0.0,10,0,13.19,367.0,0.4
Philippines,PHL,Pacifique occidental,0.0,0,0,1.73,590.0,0.1
Pologne,POL,Europe,0.0,0,0,,46.0,
Polynésie française,PYF,Pacifique occidental,0.0,0,0,,,
Porto Rico,PRI,Amériques,0.004,1,2,,9.8,
Portugal,PRT,Europe,0.01,2,41,,59.0,0.5
Qatar,QAT,Méditerranée orientale,0.032,0,41,,99.0,0.1
République centrafricaine,CAF,Afrique,0.077,2,976,438.12,681.0,7.9
République démocratique du Congo,COD,Afrique,0.165,11,38217,458.24,612.0,2.1
République dominicaine,DOM,Amériques,0.019,0,247,0.32,145.0,1.4
République du Congo,COG,Afrique,0.145,4,1560,349.6,569.0,4.5
Roumanie,ROU,Europe,0.001,0,2,,189.0,0.1
Royaume-Uni,GBR,Europe,0.009,4,296,,12.0,
Russie,RUS,Europe,0.0,0,0,,95.0,
Rwanda,RWA,Afrique,0.023,2,601,180.43,238.0,4.8
Saint-Vincent-et-les-Grenadines,VCT,Amériques,0.045,0,6,,14.0,
Sainte-Lucie,LCA,Amériques,0.049,1,12,,5.7,0.2
Salvador,SLV,Amériques,0.014,1,80,0.62,58.0,0.5
Samoa,WSM,Pacifique occidental,0.0,0,0,,24.0,
Sao Tomé-et-Principe,STP,Afrique,0.094,0,41,222.02,254.0,1.9
Sénégal,SEN,Afrique,0.067,20,2535,230.37,173.0,0.7
Serbie,SRB,Europe,0.004,0,10,,,0.1
Sierra Leone,SLE,Afrique,0.164,0,2838,424.58,604.0,1.7
Singapour,SGP,Pacifique occidental,0.0,1,0,,77.0,0.1
Slovaquie,SVK,Europe,0.001,0,0,,32.0,
Slovénie,SVN,Europe,0.001,0,0,,27.0,0.1
Somalie,SOM,Méditerranée orientale,0.002,2,13,133.15,352.0,0.3
Soudan,SDN,Méditerranée orientale,0.043,32,4567,89.72,148.0,0.1
Sri Lanka,LKA,Asie du Sud-Est,0.001,28,2,47.33,148.0,0.1
Suède,SWE,Europe,0.0,0,0,,6.7,0.1
Suisse,CHE,Europe,0.004,0,6,,11.0,0.2
Surinam,SUR,Amériques,0.03,0,19,161.38,50.0,1.1
Syrie,SYR,Méditerranée orientale,0.025,4,901,0.0,79.0,0.1
Tadjikistan,TJK,Europe,0.0,0,0,9.08,140.0,0.1
Tanzanie,TZA,Afrique,0.074,57,11022,334.61,503.0,6.1
Tchad,TCD,Afrique,0.051,6,2045,272.13,123.0,2.5
Tchéquie,CZE,Europe,0.001,0,0,,18.0,
Thaïlande,THA,Asie du Sud-Est,0.0,0,0,6.57,241.0,2.9
Timor oriental,TLS,Asie du Sud-Est,0.0,0,0,158.38,,0.1
Togo,TGO,Afrique,0.125,4,2175,445.12,51.0,3.9
Tonga,TON,Pacifique occidental,0.0,0,0,,23.0,
Trinité-et-Tobago,TTO,Amériques,0.038,1,56,,34.0,1.4
Tunisie,TUN,Méditerranée orientale,0.011,12,81,,57.0,0.1
Turkménistan,TKM,Europe,0.0,0,0,0.08,193.0,
Turquie,TUR,Europe,0.005,45,330,2.69,54.0,
Ukraine,UKR,Europe,0.0,0,0,,193.0,
Uruguay,URY,Amériques,0.001,0,1,,33.0,0.3
Vanuatu,VUT,Pacifique occidental,0.0,0,0,124.37,331.0,
Vénézuela,VEN,Amériques,0.014,40,435,2.9,62.0,0.3
Viêt Nam,VNM,Pacifique occidental,0.0,0,0,3.54,296.0,0.2
Yémen,YEM,Méditerranée orientale,0.004,1,80,83.3,94.0,0.1
Zambie,ZMB,Afrique,0.112,11,5652,360.33,759.0,15.0
Zimbabwe,ZWE,Afrique,0.021,7,483,102.59,605.0,26.0
